Time,User_ID,Tweet,like_count,reply_count,retweet_count,language
2022-03-02 04:45:07+00:00,1903712426,"World Bank prepares $3bln support package to Ukraine:
https://t.co/AoiIlwVfTr https://t.co/7C9q521sva",21,8,8,en
2022-03-02 05:00:17+00:00,1903712426,"US President Joe Biden claimed Russia had rejected attempts to solve European security issues through diplomatic means because it was planning a special operation in Ukraine from the very outset: 
https://t.co/7FXjYFruV8 https://t.co/nN2iIX2bi8",18,16,6,en
2022-03-02 07:30:09+00:00,1903712426,"Sberbank has announced leaving the European market, according to a statement released by Russia’s top lender on Wednesday:
https://t.co/xpirpl28wn https://t.co/4xzuIF7kZs",25,10,13,en
2022-03-02 09:06:27+00:00,1903712426,"Putin congratulates Gorbachev on 91st birthday:
https://t.co/yAo0Xt78py https://t.co/kRqA1Mt5Xp",121,41,37,en
2022-03-02 10:00:07+00:00,1903712426,"Russia’s COVID-19 cases surge by almost 97,500 — crisis center:
https://t.co/K7aHUfmbLO https://t.co/ZApCumxZ8V",15,12,2,en
2022-03-02 11:00:58+00:00,1903712426,"Crimea’s status as part of Russia is non-negotiable, Russian Foreign Minister Sergey Lavrov said in an interview with Al-Jazeera:
https://t.co/Bzflzt2X4T https://t.co/GN7JpHPuTD",92,29,32,en
2022-03-02 12:00:50+00:00,1903712426,"The dollar and euro exchange rates updated their historical highs, surpassing 109.5 rubles and 122 rubles, respectively on the Moscow Exchange on Wednesday:
https://t.co/1qk0CcViJR https://t.co/98eA04484N",20,17,9,en
2022-03-02 12:30:24+00:00,1903712426,"The new meeting between the Ukrainian and Russian delegation will take place Wednesday evening in the same membership as before, says Alexey Arestovich, advisor to the head of the Ukrainian Presidential Office:
https://t.co/uGKYISRS1L https://t.co/zy6epZ9BqW",48,15,21,en
2022-03-02 13:00:36+00:00,1903712426,"The European Union is developing a fourth package of sanctions against Russia due to its military operation in Ukraine, Austrian Foreign Minister Alexander Schallenberg announced:
https://t.co/mgzPyF5QOX https://t.co/ZTl4Zbx9HV",20,21,7,en
2022-03-02 14:01:07+00:00,1903712426,"Russia is grateful to India for its balanced position on the crisis in Ukraine, and New Delhi understands its depth, Russian ambassador to New Delhi Denis Alipov said on Wednesday:
https://t.co/ARDft9u4PA https://t.co/LofTV60PPy",170,37,57,en
2022-03-02 14:30:16+00:00,1903712426,"EU cuts seven Russian banks from SWIFT:
https://t.co/WDYGK6lFNq https://t.co/l7zfk9HBMx",24,22,5,en
2022-03-02 15:00:20+00:00,1903712426,"The International Paralympic Committee has decided to allow Russian and Belarusian paralympians to participate in the Beijing Games, according to the committee’s statement:
https://t.co/59NiVEnI3j https://t.co/ajNXiVzteS",30,16,14,en
2022-03-02 16:00:08+00:00,1903712426,"Russian embassy in London works normally despite threats — ambassador:
https://t.co/Mmtd2S7asj https://t.co/eEPUYuEffS",37,18,10,en
2022-03-02 17:00:07+00:00,1903712426,"NATO expansion is aimed at searching for enemy — Russian diplomat:
https://t.co/g5xFVsmnhw https://t.co/RoQOrkTBgP",56,24,19,en
2022-03-02 18:00:06+00:00,1903712426,"Turkey, Egypt, Tunisia awaiting Russian tourists, says federal agency:
https://t.co/ugrwjqIg1s https://t.co/1rLIug2ZIZ",53,23,17,en
2022-03-02 19:00:14+00:00,1903712426,"Germany’s decision on Nord Stream 2 will irrevocably affect relations with Russia — MFA:
https://t.co/PLdpmJqAep https://t.co/86nYuxhnKh",54,28,20,en
2022-03-02 20:00:21+00:00,1903712426,"Western countries refused to discuss the establishment of a new European security architecture with Russia, Foreign Minister Sergey Lavrov said in an interview with Al Jazeera:
https://t.co/6PMpFdakUZ https://t.co/Wc5Cnt8hdv",86,50,37,en
2022-03-03 08:52:17+00:00,1903712426,"Russian athletes banned from participating in Beijing Paralympics:
https://t.co/3vofK4pyzh https://t.co/XVsS0AZsCT",22,21,8,en
